geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
339,438,ASMT,acetylserotonin O-methyltransferase,1.2722e-20,0.691,0.346
343,444,ASPH,aspartate beta-hydroxylase,6.6268e-15,0.61,0.615
344,445,ASS1,argininosuccinate synthase 1,1.5095e-09,0.523,0.731
345,460,ASTN1,astrotactin 1,0.99998,0.736,0.308
346,462,SERPINC1,serpin family C member 1,0.99892,0.507,0.769
347,463,ZFHX3,zinc finger homeobox 3,0.44753,0.621,0.654
350,467,ATF3,activating transcription factor 3,0.089296,0.494,0.885
351,468,ATF4,activating transcription factor 4,0.015659,0.507,0.769
353,471,ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,3.0109e-19,0.576,0.731
354,472,ATM,ATM serine/threonine kinase,5.5884e-47,0.374,0.885
355,473,RERE,arginine-glutamic acid dipeptide repeats,1,0.526,0.846
356,474,ATOH1,atonal bHLH transcription factor 1,0.017833,0.633,0.5
358,476,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,1,0.601,0.808
359,477,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,0.00018093,0.597,0.615
360,478,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,1,0.544,0.615
361,479,ATP12A,ATPase H+/K+ transporting non-gastric alpha2 subunit,7.1254e-14,0.575,0.769
362,480,ATP1A4,ATPase Na+/K+ transporting subunit alpha 4,2.1395e-20,0.805,0.269
368,488,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,0.99945,0.529,0.808
369,489,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,2.247e-09,0.617,0.577
370,490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,1,0.666,0.5
371,491,ATP2B2,ATPase plasma membrane Ca2+ transporting 2,1,0.659,0.731
372,492,ATP2B3,ATPase plasma membrane Ca2+ transporting 3,0.99945,0.631,0.692
376,498,ATP5F1A,ATP synthase F1 subunit alpha,0.99945,0.604,0.731
378,506,ATP5F1B,ATP synthase F1 subunit beta,0.97679,0.626,0.654
380,513,ATP5F1D,ATP synthase F1 subunit delta,0.073813,0.674,0.5
381,514,ATP5F1E,ATP synthase F1 subunit epsilon,0.0088748,0.686,0.5
386,523,ATP6V1A,ATPase H+ transporting V1 subunit A,0.86801,0.579,0.615
387,525,ATP6V1B1,ATPase H+ transporting V1 subunit B1,2.3997e-09,0.695,0.346
391,529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,0.528,0.61,0.769
393,534,ATP6V1G2,ATPase H+ transporting V1 subunit G2,0.0028604,0.839,0.269
396,538,ATP7A,ATPase copper transporting alpha,0.99983,0.494,0.769
398,540,ATP7B,ATPase copper transporting beta,4.8001e-30,0.529,0.654
399,545,ATR,ATR serine/threonine kinase,3.5177e-09,0.456,0.923
400,546,ATRX,ATRX chromatin remodeler,1,0.452,0.808
401,547,KIF1A,kinesin family member 1A,1,0.559,0.692
402,549,AUH,AU RNA binding methylglutaconyl-CoA hydratase,8.024e-06,0.686,0.346
404,551,AVP,arginine vasopressin,0.074413,0.436,0.846
405,552,AVPR1A,arginine vasopressin receptor 1A,6.8987e-07,0.663,0.5
406,553,AVPR1B,arginine vasopressin receptor 1B,0.00037047,0.705,0.385
407,554,AVPR2,arginine vasopressin receptor 2,0.55589,0.568,0.769
408,558,AXL,AXL receptor tyrosine kinase,0.012951,0.489,0.615
410,563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",4.1545e-06,0.566,0.769
412,567,B2M,beta-2-microglobulin,0.56167,0.447,0.846
414,571,BACH1,BTB domain and CNC homolog 1,0.57072,0.585,0.731
416,573,BAG1,BAG cochaperone 1,6.5264e-06,0.538,0.769
421,578,BAK1,BCL2 antagonist/killer 1,7.4028e-06,0.555,0.769
423,580,BARD1,BRCA1 associated RING domain 1,1.3777e-24,0.597,0.538
424,581,BAX,"BCL2 associated X, apoptosis regulator",0.31746,0.417,0.885
425,582,BBS1,Bardet-Biedl syndrome 1,3.4063e-12,0.593,0.692
430,590,BCHE,butyrylcholinesterase,1.0643e-13,0.447,0.923
431,593,BCKDHA,branched chain keto acid dehydrogenase E1 subunit alpha,9.8243e-09,0.695,0.423
432,594,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta,4.3112e-09,0.682,0.5
433,595,CCND1,cyclin D1,0.89057,0.344,0.923
434,596,BCL2,BCL2 apoptosis regulator,0.55903,0.291,0.885
435,597,BCL2A1,BCL2 related protein A1,0.20785,0.529,0.731
436,598,BCL2L1,BCL2 like 1,0.93667,0.493,0.885
437,599,BCL2L2,BCL2 like 2,0.46908,0.599,0.615
438,602,BCL3,BCL3 transcription coactivator,0.98871,0.541,0.731
440,604,BCL6,BCL6 transcription repressor,0.96038,0.444,0.808
443,607,BCL9,BCL9 transcription coactivator,0.49607,0.595,0.615
444,608,TNFRSF17,TNF receptor superfamily member 17,1.3715e-06,0.588,0.692
446,611,OPN1SW,"opsin 1, short wave sensitive",0.021134,0.519,0.769
447,613,BCR,BCR activator of RhoGEF and GTPase,0.98761,0.431,0.885
449,617,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",4.6972e-13,0.534,0.808
450,618,BCYRN1,brain cytoplasmic RNA 1,,0.666,0.423
452,623,BDKRB1,bradykinin receptor B1,0.0046897,0.619,0.731
453,624,BDKRB2,bradykinin receptor B2,0.11863,0.585,0.808
454,627,BDNF,brain derived neurotrophic factor,0.65626,0.345,0.923
455,629,CFB,complement factor B,4.6696e-16,0.532,0.769
457,632,BGLAP,bone gamma-carboxyglutamate protein,4.6155e-08,0.462,0.846
458,633,BGN,biglycan,0.45229,0.484,0.808
459,634,CEACAM1,CEA cell adhesion molecule 1,0.00078816,0.525,0.731
460,635,BHMT,betaine--homocysteine S-methyltransferase,3.739e-14,0.595,0.731
462,637,BID,BH3 interacting domain death agonist,1.5646e-11,0.555,0.808
464,639,PRDM1,PR/SET domain 1,0.9565,0.538,0.731
465,640,BLK,"BLK proto-oncogene, Src family tyrosine kinase",8.348e-14,0.585,0.769
466,641,BLM,BLM RecQ like helicase,1.5376e-15,0.535,0.808
467,642,BLMH,bleomycin hydrolase,0.12878,0.716,0.423
472,648,BMI1,"BMI1 proto-oncogene, polycomb ring finger",0.94286,0.448,0.808
473,649,BMP1,bone morphogenetic protein 1,0.00088564,0.554,0.769
474,650,BMP2,bone morphogenetic protein 2,0.98799,0.432,0.846
476,652,BMP4,bone morphogenetic protein 4,0.9564,0.422,0.808
477,653,BMP5,bone morphogenetic protein 5,0.00090084,0.653,0.577
478,654,BMP6,bone morphogenetic protein 6,0.75947,0.531,0.808
479,655,BMP7,bone morphogenetic protein 7,0.12727,0.498,0.769
481,657,BMPR1A,bone morphogenetic protein receptor type 1A,0.90333,0.522,0.731
482,658,BMPR1B,bone morphogenetic protein receptor type 1B,0.99863,0.573,0.615
483,659,BMPR2,bone morphogenetic protein receptor type 2,0.99998,0.538,0.654
484,660,BMX,BMX non-receptor tyrosine kinase,0.006673,0.663,0.385
488,664,BNIP3,BCL2 interacting protein 3,1.9687e-05,0.52,0.731
489,665,BNIP3L,BCL2 interacting protein 3 like,0.15274,0.636,0.654
491,667,DST,dystonin,1,0.552,0.846
492,668,FOXL2,forkhead box L2,0.87762,0.542,0.692
495,671,BPI,bactericidal permeability increasing protein,1.6514e-14,0.61,0.769
496,672,BRCA1,BRCA1 DNA repair associated,9.2157e-29,0.367,0.923
497,673,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",0.99995,0.319,0.846
498,675,BRCA2,BRCA2 DNA repair associated,2.3581e-25,0.379,0.846
503,682,BSG,basigin (Ok blood group),2.5873e-05,0.458,0.769
507,686,BTD,biotinidase,1.4972e-07,0.628,0.654
509,688,KLF5,Kruppel like factor 5,0.8181,0.534,0.769
510,689,BTF3,basic transcription factor 3,0.75624,0.674,0.577
513,695,BTK,Bruton tyrosine kinase,0.99996,0.464,0.808
515,699,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,4.8813e-09,0.528,0.731
517,701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,6.998e-10,0.502,0.808
519,706,TSPO,translocator protein,0.00027398,0.444,0.885
520,708,C1QBP,complement C1q binding protein,2.0164e-07,0.569,0.692
521,710,SERPING1,serpin family G member 1,0.96351,0.507,0.769
522,712,C1QA,complement C1q A chain,0.0038204,0.623,0.654
523,713,C1QB,complement C1q B chain,0.15392,0.711,0.538
524,714,C1QC,complement C1q C chain,0.048591,0.751,0.423
525,715,C1R,complement C1r,0.77888,0.638,0.654
